企業名,キャッチコピー,ステータス,初年度年収
株式会社what's new | #完全週休2日制（土日休み）#フレックスタイム制 #賞与年2回,多彩なキャリア選択が可能！【Webサイト構築・テスト】未経験OK 正社員,正社員,350万円～500万円
株式会社 ベストサポートシステムズ | 【残業ほぼなし／年間休日125日／完休2日制(土日祝休)】,経験が浅めの方もまずは一度お気軽にご応募下さい★【PG／SE】 正社員,正社員,
株式会社AOIインターナショナル | 人材採用のプロフェッショナル集団※転勤なし/年間休日120日以上,大手有名企業の人材採用をサポート！【事務系総合職】※未経験OK 正社員,正社員,330万円～400万円
株式会社フジワーク | 残業1日平均1h程度／土日祝休 ／有給取得率80％／住宅手当有,【プログラマー】※前職給与考慮！上流案件・自社製品も多数！ 正社員,正社員,350万円～700万円
株式会社湘南ゼミナール | 充実の研修プログラム★年3回長期連休あり★10連休取得者多数,定着率92％！『河合塾マナビス』の【教室運営】※教室長候補 正社員,正社員,397万円～799万円
ソニーセミコンダクタマニュファクチャリング株式会社 | 【ソニーグループの半導体事業】年間休日121日/土日休み,世界的な半導体需要の拡大に応える【ITシステム開発】 正社員,正社員,400万円～800万円
株式会社ディスコ | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,"経験不問/組込み・制御系の【制御ソフト開発】平均年収1,075万円 正社員",正社員,
株式会社ディスコ | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,社内システム・Webアプリ開発・インフラの管理等【IT系総合職】 正社員,正社員,
株式会社ケーアイエス | ☆医療×IT分野のリード企業／国家事業にも参画／年間休日120日,【医療システムの開発エンジニア】☆上流工程からの参画も可能！ 正社員,正社員,400万円～900万円
株式会社京進 | 東証二部上場,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",契約社員,
アジア航測株式会社 | 【東証二部上場企業】技術で業界を牽引する航空測量大手,【空間情報システム運用支援】年間休日122日★客先常駐ほぼなし 正社員,正社員,450万円～650万円
株式会社アール・シー・エス | 《西日本放送グループで安定性バッチリ！》★WEB面接も対応中！,自社商品の【営業】年休120日～／直行直帰もOK／残業ほぼなし★ 正社員,正社員,300万円～500万円
日本カラリング株式会社 | JSR（東証一部上場）のグループ企業！ 先端技術で着実に成長中！,上場グループで活躍！【SE】★年休121日／残業月平均12時間 正社員,正社員,280万円～500万円
株式会社feat | WEB面接可/働きやすさ抜群！男性の育休取得実績あり,《勤務地は東海地区限定》【SE・PG】*完全土日祝休・手当充実 正社員,正社員,360万円～700万円
アジア航測株式会社 | 【東証二部／航空測量大手】公共案件が多数！安定経営を継続中,【空間情報システム開発(地理空間データ活用)】客先常駐ほぼなし 正社員,正社員,450万円～650万円
株式会社長谷工コーポレーション | 67万戸のマンション設計・施工を行う東証一部上場企業◎,東証一部上場企業の【ICT(情報通信技術)】★完全週休二日制 正社員,正社員,600万円～1100万円
関西ビジネスインフォメーション株式会社 | 【Daigasグループ(旧大阪ガスグループ)】◆大阪限定募集,会員サイト「マイ大阪ガス」の【プロジェクトマネージャー】 正社員,正社員,489万円～543万円
株式会社エイビス | ★完全週休2日制 ★在宅勤務OK ★上流工程で活躍 ★残業少なめ,開発スキルを活かしてキャリアUP！【SE】PL・PMも目指せる！ 正社員,正社員,
株式会社マリモホールディングス | 不動産総合デベロッパーとして51年｜マリモグループの経営を担う,【社内SE（コーポレートエンジニア）】年休120日以上／土日祝休 正社員,正社員,400万円～600万円
株式会社クオーマ | 有給取得率高／年間休日121日以上／残業月平均20時間以下,《東京勤務》【SE・PG】★完全土日休み／転勤なし 正社員,正社員,322万円～490万円
コグニビジョン株式会社 | 自社製品「事故車修理見積システム」で圧倒的シェア,【社内SE】大小様々なプロジェクトの推進／上流工程中心にお任せ 正社員,正社員,500万円～700万円
株式会社クオーマ | 有給取得率高／年間休日121日以上／残業月平均15時間ほど,《愛知勤務》【SE・PG】★完全土日休み／転勤なし 正社員,正社員,322万円～490万円
トーカドエナジー株式会社 | ★年間休日125日★土日祝休み★残業月平均5時間～15時間★,バッテリーパックメーカーでの【社内システムエンジニア】 正社員,正社員,331万円～432万円
三州食品株式会社 | 日本の食卓を支える、卵ビジネスを展開！,《小牧・車通勤可》【社内SE】★転勤なし・システム開発経験必須 正社員,正社員,350万円～480万円
京葉測量株式会社 | 官公庁案件100％！千葉のインフラを支える安定企業！,自社開発システムの【SE】自社開発100％・転勤なし 正社員,正社員,330万円～520万円
株式会社コムネットシステム | 土日祝休み・年間休日120日以上・残業月平均20時間程度,【システムエンジニア】年間休日120日以上／土日祝休み 正社員,正社員,
物産フードサイエンス株式会社 | 三井物産の100％子会社/国内シェアトップクラスの素材メーカー,安定企業で働く【社内SE（システム保守・運用）】★年休125日 正社員,正社員,400万円～600万円
株式会社イーアスリンク | 官公庁や熊本県内の大手企業との取引あり！若い会社でも将来性◎,自社製品で官公庁などとの取引多数！【SE・PG】年休124日♪ 正社員,正社員,
株式会社サンセイコンピュータシステム | 自社の業務パッケージ製品を全国に向けて開発・提案する企業,自社パッケージ製品の【SE・PG】 ◎完全週休2日制 ☆土日休み 正社員,正社員,300万円～450万円
株式会社ファルコン | ～社会に役立つソフトウェアを考えます～,社会貢献度の高い【SE/PG】＼名古屋市中区・自社内開発／ 正社員,正社員,370万円～430万円
株式会社TOKO | 「オンリーワンのNo.1企業」を目指し100年企業に向け成長中！,【社内SE】★年休120日/残業月平均10h/昨年賞与支給4ヶ月 正社員,正社員,
株式会社システムエンジニアリング | 【JASDAQ上場グループ】ホテルや大型施設の空間をプロデュース！,演出設備（音響・照明・映像・舞台装置等）の【点検・保守】 正社員,正社員,350万円～450万円
富士電波工業株式会社 | 2000度～3400度の高温炉を設計できる技術力は国内有数！,働きやすい環境でスキルを発揮【社内SE】★転勤なし★残業なし 正社員,正社員,
株式会社サンテク | 創業37年！地場エネルギー企業のシステム子会社が資本参加,【ブリッジSE（上流工程メイン）】★東京勤務・年間休日125日 正社員,正社員,450万円～600万円
株式会社オシキリ | 『OSHIKIRI』製品を世界へ！当社は”製パン機械メーカー”です。,【社内SE】年間休日120日／土日休み／残業平均10h程度 正社員,正社員,330万円～410万円
株式会社ランネット | 【独自システム構築で、システム面からさまざまな業界に貢献！】,多彩な案件を手掛ける！【PG・SE】★年休実質117日以上 正社員,正社員,
株式会社システムエンジニアリング | 【JASDAQ上場グループ】ホテルや大型施設の空間をプロデュース！,誰もが知っている著名な案件に携わる【企画営業】 正社員,正社員,400万円～500万円
株式会社センクリード | 大手メーカーの一次受け企業。自社パッケージ商品も開発中です！,【SE】＊年間休日125日／完全週休2日(土日)／残業月平均10H以内 正社員,正社員,380万円～800万円
株式会社ＧＳＩ | ★2年以内の上場を見据える成長企業★土日祝休★広瀬通駅徒歩1分,《仙台限定募集》2021年OPENの新拠点で働く！【開発エンジニア】 正社員,正社員,350万円～600万円
株式会社システムエンジニアリング | 【JASDAQ上場グループ】ホテルや大型施設の空間をプロデュース！,演出設備（音響・照明・映像・舞台装置等）の【施工管理】 正社員,正社員,450万円～650万円
株式会社扇港電機 | 電気設備資材を扱う専門商社！東海エリアではシェアトップクラス,創業72年の老舗企業で活躍！【社内SE】★四日市勤務／転勤なし 正社員,正社員,
株式会社ホクビー | 【日本全国＆海外へも展開する食肉メーカー】,＜転勤なし＞【社内SE】★ITによる業務効率&利益向上に貢献！ 正社員,正社員,
株式会社アクロホールディングス | 豊富な案件の中から、あなたの経験や希望に合わせてアサイン！,【ITエンジニア】▼完全週休2日制（土日祝） ▼福岡限定勤務 正社員,正社員,350万円～800万円
株式会社タクマ | 【東証一部上場】環境保全・エネルギープラントのパイオニア企業,社内のIT環境を推進する【社内SE】年間休日128日／離職率3％ 正社員,正社員,490万円～700万円
テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,【顧客企業向け社内SE】土日祝休・年休124日/資格取得支援制度有 正社員,正社員,400万円～650万円
株式会社STUDIO ARC | 今期、過去最大の売上見込み！「記念日」をプロデュースする企業,アイデアを活かせる【インハウスSE】※社内業務 ※経験者採用 正社員,正社員,
株式会社アイテック | 【PKSHA Technologyグループ】トップクラスの駐車場機器メーカー,自社製Webアプリケーションの【システムエンジニア】 正社員,正社員,450万円～600万円
大口電子株式会社 | 住友金属鉱山(株)の100％子会社,【社内SE】賞与実績：平均5.6か月分！引っ越し費用補助あり！ 正社員,正社員,300万円～400万円
テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,【インフラ運用保守SE(リーダー候補)】土日祝休・年休120日以上 正社員,正社員,400万円～650万円
テクバン株式会社 | 【創業以来黒字経営／産育休・復帰実績多数♪／賞与年2回】,【テクニカルサポート(リーダー候補)】土日祝休・年休120日以上 正社員,正社員,400万円～600万円
リビエラ株式会社 | 静岡県の老舗安定企業！大手ハウスメーカーと取引があり！,【社内SE】★賞与年3回 ★転勤ナシ★月平均残業時間20時間以内！ 正社員,正社員,330万円～420万円
株式会社湯山製作所 | 【創業57年】医療用機器メーカーのリーディングカンパニー,医療機器メーカーの業務支援システム【導入SE】★福岡エリア勤務 正社員,正社員,
日本自動化開発株式会社 | 【安定性抜群】幅広い取引先企業多数★上流工程から携われます！,【SE】★年間休日124日 ★残業月25時間 ★社員の定着率90%以上！ 正社員,正社員,400万円～720万円
NRIデータiテック株式会社 | 【東証一部上場・野村総合研究所グループ】★年休120日以上★,在宅勤務もOK！【ネットワーク／サーバ／クラウドエンジニア】 正社員,正社員,500万円～750万円
株式会社アイ・アールジャパン | 【東証一部上場】完全独立系の唯一無二のコンサルティング会社,【社内SE(自社内エンジニア)】◆年収1千万円可能 ◆自由な風土 正社員,正社員,600万円～1000万円
株式会社L is B | フレックスタイム制：完全週休2日制・年間休日120日以上,自社サービスでビジネスシーンを改革する【システムエンジニア】 正社員,正社員,400万円～700万円
株式会社タカラレーベン | ◆完全週休2日制／年間休日120日／各種手当充実／賞与年2回,【社内SE（インフラエンジニア）】☆リーダー候補採用です！ 正社員,正社員,400万円～800万円
株式会社パブリックリレーションズ | 「AI」「IoT」「IT×農業」⇒キーワードにピンときたらぜひ！,フレックスタイムで自由度あり！【SE/PG】◎自社パッケージあり 正社員,正社員,
日本総合システム株式会社 | 【コロナ禍でも増収増益見込み】☆残業月10h☆男性の育休実績有,大手企業への導入実績多数！自社パッケージに携わる【SE】 正社員,正社員,450万円～700万円
株式会社アンドパッド | 《業界のDX推進をリードするSaaS企業／累計87億円の資金調達》,成長フェーズにある会社をITで支える！【社内SE】★年休126日 正社員,正社員,480万円～600万円
株式会社テクノプロ | テクノプロ・IT社<東証一部上場 テクノプロ・グループ>年休123日,【ITエンジニア(開発/インフラ)】残業月12.5h/在宅勤務も対応可 正社員,正社員,350万円～650万円
小松鋼機株式会社 | 小松に密着した老舗商社！残業ほぼなし！コア人材として活躍！,自分の実力を思いっきり試せる【社内SE】U・Iターン応募も歓迎！ 正社員,正社員,
アコム株式会社 | ─◆三菱UFJフィナンシャル・グループ／東証一部上場企業◆─,「世界のアコム」の実現に向けてシステムを支える【社内SE】 正社員,正社員,500万円～730万円
株式会社アットファイブ | 【事業拡大成長企業/残業10h以内/月給30万円以上/在宅勤務も】,【開発エンジニア】次世代リーダー候補採用！前給保障★ 正社員,正社員,360万円～420万円
株式会社ユニネットワーク | 【☆特許】自社パッケージ有／賞与4ヶ月実績／土日祝休／残業少,【SE】開発経験者優遇/20～30代活躍中！社員の働きやすさ重視★ 正社員,正社員,370万円～700万円
株式会社ジョブサポート | ★2500名のSE育成実績あり／完全週休2日制(土日)・残業少なめ★,★SE育成のプロチーム★ゼロから技術が身につく【ITエンジニア】 正社員,正社員,250万円～550万円
株式会社インテック | ◆ノルマなし＆インセン◎/土日祝休み＆年休125日でオンオフ充実,転勤なし×未経験歓迎！【総合職(営業/人材コーディネーター)】 正社員,正社員,330万円～450万円
アイニックス株式会社 | 顔・指紋認証など自動認識技術を牽引/在宅有/残業月平均20h,自動認識技術で最先端へ！【システムエンジニア】月給33万円～ 正社員,正社員,500万円～700万円
株式会社第一コンピュータリソース | 【設立52年・大手企業とも取引】転勤なし！好きな地域でスタート,仕事も働き方も業界の一歩先を行く【SE/PG】★年間休日126日 正社員,正社員,
株式会社アビリティ | 【2005年設立】☆開発案件に強み☆稼働率100％☆年間休日125日,千差万別のキャリアを描く！【ITエンジニア】*在宅8割*月給35万~ 正社員,正社員,450万円～1000万円
株式会社ランテック | 【大阪府緊急雇用対策に賛同】東証一部上場「センコーグループ」,""" 人の役に立つ仕事 ""を始めませんか？【 総合職 】地域限定採用 正社員",正社員,
株式会社Vヴィズリア | ★年休125日超★土日祝休み★残業18h以下★完全週休2日★面接1回,立仕事onlyから自分の可能性に挑戦【ITエンジニア】★未経験OK 正社員,正社員,200万円～1500万円
株式会社GSI | ★定着率92％ ★年休128日 ★有給消化率71％ ★リモートあり,4ヶ月の研修でデビュー!【エンジニア】★未経験歓迎★土日祝休み 正社員,正社員,
KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,5Gを通して通信業界に旋風を巻き起こす未来をつくる【営業職】 正社員,正社員,450万円～650万円
アクセンチュア株式会社 | 「 女性が活躍する会社 」第1位に選ばれたグローバル企業です！,クライアントとともにDXを実現する【 BPOリーダー候補 】 正社員,正社員,350万円～1000万円
アデコ株式会社 | Modis事業本部/5G、IoT等の最先端技術に挑戦/帰社日＆日報なし,中途入社者の9割が年収アップ◆賞与年2回【インフラエンジニア】 正社員,正社員,350万円～1000万円
シアトルコンサルティング株式会社 | 年齢に関わらず上流～開発まで経験/中途入社100%給与アップ◎,【WEBエンジニア】Ruby・Vue.js・AWS等モダンなプロジェクト多数 正社員,正社員,400万円～800万円
株式会社ドン・キホーテ | 東証一部上場PPIHグループ/大阪府緊急雇用対策に賛同/残業少なめ,★学歴完全撤廃★20代活躍中！★企画もできる【販売スタッフ】 正社員,正社員,300万円～800万円
Ｓｋｙ株式会社 | ＜社員定着率96％※2021年3月期＞,【インフラ系エンジニア】◆インフラの提案導入からサポートまで 正社員,正社員,
株式会社Crane＆I | 設立8年目／年休120日以上／年収1000万円も目指せる＜面接1回＞,未経験から稼げる【インフラエンジニア】へ！★昇給最大20万up★ 正社員,正社員,360万円～1000万円
株式会社システナ | <東証一部上場>★年休128日★土日祝休★残業1日1H以内★同期多数,【ITサポート事務】★まだまだ勉強・成長したい未経験のあなたへ 正社員,正社員,350万円～400万円
アルユーアイ株式会社 | ★給与UP保証★完全週休2日(土日)★年休126日★残業10時間以内,【 ネットワーク・サーバエンジニア】★未経験・経験者とも歓迎 正社員,正社員,300万円～600万円
"株式会社NTTデータ四国 | 《株式会社NTTデータグループ》最先端の技術で""世界""と繋がる！",決済系システム開発の【SE】テレワーク・フレックスタイム導入★ 正社員,正社員,350万円～600万円
相鉄バス株式会社 | 【100年超の歴史／安定の相鉄グループ】★社員の生の声を公開中,普通免許から【バス運転士】へ★免許取得サポート&研修も充実！ 正社員,正社員,350万円～500万円
株式会社ブライトノア | 【大手企業の案件が多数】★土日祝休★年休125日~★残業20h以下,【ITエンジニア】ゲーム・アニメ好きの同期と一緒だから楽しい♪ 正社員,正社員,200万円～700万円
株式会社スタッフサービス | エンジニアリング事業本部,大手基盤・安定成長！【ITエンジニア】★残業月11h/選べる勤務地 正社員,正社員,300万円～700万円
株式会社ラクスパートナーズ | 上場企業グループ/9割が未経験スタート/年休120日以上/残業月10h,【ITエンジニア】★3ヶ月間の研修からスタート★未経験OK 正社員,正社員,300万円～500万円
株式会社アーバン・ウェブ | ★月の半分リモートワークOK★有給消化ほぼ100％で実質140日休み,【システムエンジニア】★経験者は前職給与保証 正社員,正社員,360万円～750万円
株式会社エーシーエス | 福山で設立し22年／年間休日123日／自社開発案件多数／転勤なし,★経験者優遇★月給25万以上！【SE・PG】※残業平均月10h程度 正社員,正社員,350万円～560万円
Rセキュリティ株式会社 | 20年連続増収増益◆2020年2～5月は売上前年比”125％以上”,未経験者歓迎！【錠前技師】完全週休2日制★年収1500万円可能 正社員,正社員,300万円～500万円
株式会社アンスール | Java開発案件をはじめ、最新言語での開発やゲーム開発案件も！,やりたいことを本気で実現！【ITエンジニア】★未経験OK 正社員,正社員,
株式会社SHIFT | 東証一部◆ニーズが高いアジャイルの知見が豊富◆在宅比率99％,アジャイル開発におけるPMを担う！【スクラムマスター】 正社員,正社員,420万円～960万円
株式会社KSEシステムクリエイト | 年休128日*土日休み*残業少*WEB面接1回！*20～30代活躍中！,研修4ヶ月後に安心デビュー！【WEBエンジニア】★未経験大歓迎 正社員,正社員,250万円～500万円
株式会社LIC | 【26期連続黒字】★新業務スキームの開始に伴う採用！,＜札幌採用／転勤なし＞【システムエンジニア(PM)】月給30万円～ 正社員,正社員,400万円～650万円
グルーコードシステムズ株式会社 | ★時代の転換期にチャレンジングな転職を応援★プライム案件9割,★前給＋α保証 ★年休最大140日 ★多様な働き方【エンジニア】 正社員,正社員,300万円～1500万円
株式会社システムイオ | MITホールディングス（東証JASDAQ上場）グループ,【開発エンジニア】社会基盤分野＆DX提案★経験・未経験とも歓迎 正社員,正社員,300万円～550万円
株式会社ジェネコム | ◇未経験歓迎！◇完全週休2日（土日休み）◇実働7時間,知識とスキルを身に付ける【システム開発営業】★年休130日以上 正社員,正社員,308万円～450万円
WEBHELP JAPAN株式会社 | フランスに本社を構え、世界35ヶ国に展開するグローバル企業です,英語力アップが目指せる【テクニカルサポート】★月給30万円以上 正社員,正社員,360万円～531万円
KDDIエンジニアリング株式会社 | 【KDDIグループ】★「健康経営優良法人2021」認定,IoTの経験を活かせる【ソリューションエンジニア】★土日祝休み 正社員,正社員,450万円～650万円
株式会社アクロビジョン | 《社員ファースト企業》★定着率90％ ★Web面接1回で内定！,【インフラ/開発エンジニア】エンジニアデビューも全力応援！ 正社員,正社員,300万円～800万円
セブンシーズ株式会社 | 設立25年！大手直請実績が多数/年休127日/残業月10～20h,前職給与保証！年収700万円～も可能【ITエンジニア】※PL/PM候補 正社員,正社員,600万円～850万円
株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,経験1年もOK！【プログラマー】★前職給与+30万以上UPの実績多数 正社員,正社員,350万円～1020万円
東芝テック株式会社 | ★TOSHIBA(東芝)グループ★東証一部上場★賞与4.8カ月(昨年実績),POS業界シェアNo.1！店舗システムの【営業】★20代～30代活躍中 正社員,正社員,400万円～650万円
株式会社ビジネスブレーン | ★土日祝休み・年間休日120日以上★大阪府緊急雇用対策に賛同,自社開発システムなどの【提案営業】★IT知識不要＆未経験歓迎★ 正社員,正社員,
株式会社アイアンドエーエス | 「外為オンライン」「アイネット証券」などを運営するISグループ,＼第二新卒・経験浅めの方も大歓迎／【社内SE】★20代若手活躍中 正社員,正社員,400万円～700万円
サーヴェイトコンサルティング株式会社 | 【経験者は前給保証】*テレワーク案件有*20～30代活躍中*面接1回,未経験歓迎の【初級エンジニア】年休123日*土日祝休み*残業少！ 正社員,正社員,300万円～1000万円
株式会社フルマークス | ★新しい技術をビジネスにつなげる会社です！,【ITエンジニア(開発/インフラ)】◆20～30代が活躍中！ 正社員,正社員,540万円～1200万円
株式会社トーヨー建設 | トーヨーグループの中核で変革を繰り返すVisionary-Company,地場に根付く【施工管理】★ITをフル活用し、残業削減へ 正社員,正社員,300万円～800万円
株式会社シスナビ | ◆残業月15h以内◆年休120日以上◆完休2日(土日休み)◆賞与年2回,"""やりたい！""を叶える会社【SE・PG】★前給保証★月給30万円以上 正社員",正社員,450万円～800万円
株式会社メイテック | 東証一部上場／自動運転やAIの最先端案件・年収100万UPの事例有,【制御・組込みエンジニア】◆トヨタ自動車・SUBARUなどのPJ担当 正社員,正社員,400万円～800万円
株式会社SCRIPT | ◆年間休日122日 ◆土日祝休み ★大手クライアントとの取引多数,【SE・PG】★残業月6～7時間★多彩なプロジェクトあり 正社員,正社員,350万円～650万円
株式会社セオ | ◆年間休日125日◆フレックス制＆リモートワーク選択OK,★自社内開発100％★【ITエンジニア】建設業界をシステムで支援 正社員,正社員,350万円～500万円
株式会社データワンテクノロジー | 【業績好調】★現在待機ゼロの安定性★残業月平均10～20ｈ,【ITエンジニア】★新価値創造に挑戦★育成環境安心★定着率90％ 正社員,正社員,300万円～1000万円
株式会社ハートソフト | オンライン面談実施中！業務拡大・案件増加により増員募集！,納得できる評価と理想のキャリアを描く【Webエンジニア】 正社員,正社員,
株式会社東北電子計算センター | 東証一部上場グループの仕事を担当/残業月20h程度/資格祝い金有,【システムエンジニア】年休122日/完休2日(土日祝)/賞与4ヵ月分 正社員,正社員,
株式会社八木ビジネスコンサルタント | ★創立37年目★東証一部グループ ★“カジュアル面談”を開催中,【開発エンジニア】社内受託案件メイン/SAPコンサルも目指せる 正社員,正社員,400万円～800万円
株式会社ジェイエスキューブ | 【上場企業グループ】◆賞与4.44カ月◆残業月20h以下,100％自社内＆自社製品！【SE/PG】★フレックス★年間休日127日 正社員,正社員,360万円～550万円
株式会社ビーサンク | ★安定基盤あり・エクソンホールティングスの一員 ★面接1回,第二新卒歓迎！【ITエンジニア】★年休120日以上 ★残業少なめ 正社員,正社員,320万円～650万円
株式会社システムオリジン | 業界シェアトップクラス／年間休日120日以上・完全週休2日制,自社システムでお客様の課題を解決！【提案営業】未経験歓迎！ 正社員,正社員,300万円～420万円
中西商会株式会社 | 【激動の物流業界をITで支える成長企業】業績好調！月給30万円～,自社製品を開発する【社内SE】＊完全週休2日(土日祝)・残業月10H 正社員,正社員,400万円～1000万円
株式会社ビジネクスト | ◆学歴不問／土日祝休み／年間休日123日／残業少なめ／少数精鋭,【ITコンサルタント/PM】月給29万円以上／在宅勤務／副業OK 正社員,正社員,400万円～1000万円
新生電機株式会社 | 【創業約60年／制御機器・部品の専門商社です】,安定した専門商社の【ルート営業】年休113日★20～30代活躍中！ 正社員,正社員,
株式会社LeoITコンサルティング | ◎2019年の設立から成長中 ◎30代活躍中 ◎創業期メンバー,自社サービスも始動予定！【 SE・PG 】★年休120日/残業ほぼなし 正社員,正社員,350万円～500万円
株式会社ロックシステム | YouTuber/新サービス企画など展開活発│大阪府緊急雇用対策賛同,創業以来ずーっとSESほぼ残業ゼロ！伸び伸び成長できる【SE/PG】 正社員,正社員,400万円～700万円
ベックス株式会社 | 都市再開発や地域発展事業等のプロポーザル作成の専門コンサル,【ITエンジニア】★社内外システム開発・運用と新規事業の展開★ 正社員,正社員,400万円～800万円
アクサ損害保険株式会社 | 土日祝休み/年休120日以上/残業月平均20H以内/リモートワークOK,若手活躍中！『AXAブランド』の成長を支える【データ企画担当】 正社員,正社員,450万円～500万円
株式会社パワーエッジ | 【コロナ禍でも安定】★完全週休2日★残業月10h以下★在宅勤務OK,新人ベテラン大歓迎★キャリアアップを万全サポート！【PG/SE】 正社員,正社員,300万円～750万円
エフエー・ネット株式会社 | 年間休日121日／自社内開発／未経験育成に自信アリ,【ロボットエンジニア】★最先端技術でモノづくりの未来を創る！ 正社員,正社員,300万円～400万円
株式会社アストロステージ | ★医療分野の成長企業！社会貢献度と将来性の大きさが魅力！,医療機関向けシステム【導入サポート】全国7拠点採用★転勤なし 正社員,正社員,350万円～600万円
株式会社アストロステージ | 100％自社内開発でスキルアップも可能！希望勤務地考慮,【自社内勤務の開発エンジニア】医療の未来を支えるメーカー企業 正社員,正社員,400万円～600万円
株式会社マイナビ | 就職や転職などのあらゆる人生の岐路を支えるサービスを提供,【人材系新サービスのキャリアアドバイザー(CA)】※IT業界経験者 正社員,正社員,380万円～570万円
サン・ライズ・システムズ株式会社 | ◆受託開発・自社内開発あり◆年間休日120日◆在宅勤務OK,"*サポート体制ばっちり*【ITエンジニア】★月額40万~66万7,000円 正社員",正社員,480万円～800万円
株式会社日本ビジネスデータープロセシングセンター | 年休120日以上｜原則定時退社｜中途3年間の定着率90％以上,AWS開発が学べる！【クラウドエンジニア】★在宅勤務可能★ 正社員,正社員,300万円～450万円
メモリーハウス株式会社 | 完全週休2日(土日祝)／残業少なめ／社内副業制度あり,上流工程からすべてを任せる！【SE】※年間休日122日 正社員,正社員,
株式会社トーケミ | 設立以来黒字経営を継続するメーカー｜ろ過材シェアトップクラス,【社内SE】※残業月10～15時間！創業以来黒字経営！賞与年3回 正社員,正社員,350万円～600万円
ジーエムラボ株式会社 | 【国家的なプロジェクトでも多くの導入実績あり】,＼経験者募集／【PG/SE/WEBデザイナー】◆賞与年3回・土日祝休み 正社員,正社員,400万円～700万円
株式会社インバウンドテック | マザーズ上場,【社内SE 】★経験がない方や独学の方も応募OK！★転勤なし 正社員,正社員,300万円～360万円
株式会社Caelus | 社長も現役！エンジニアの理想を叶える会社★副業OK！,【ITエンジニア】スタートメンバー募集★受託料の8割が給与に！ 正社員,正社員,
株式会社電算 | 【東証1部上場】新たな価値を創造する独立系SIer◇WEB面接OK,サービスの高度化に貢献【SE】実質年休125日◇賞与平均5.4ヶ月 正社員,正社員,350万円～650万円
ESシステム株式会社 | 転職組の全員が年収UPを実現／ここ10年で退職者1名と定着率抜群,【SE・PG】経験者募集／月給30万円以上／年間休日125日 正社員,正社員,400万円～700万円
東京技工株式会社 | 【創業67年！100年企業へ】社員を想い働き方進化中！賞与5カ月分,首都圏のガスを支える【技術系総合職（設計/測量）】★未経験OK 正社員,正社員,350万円～500万円
株式会社創成 | 《ITTO個別指導学院を運営》四国を中心に全国で25校を展開！,★愛媛県内のみ・転勤なし★経験不問の【教室運営事務スタッフ】 正社員,正社員,300万円～400万円
株式会社GSD | ◆1度に月給10万円UPも可 ◆残業月20h程 ◆産育休・時短実績あり,【ITエンジニア】※前職給与を考慮 ※年間休日120日以上 正社員,正社員,300万円～900万円
株式会社アミパラ | 《いつも笑顔で働ける職場！》賞与実績6ヶ月分／年休実質120日～,実務未経験OK！【社内システム担当】残業平均10h以内★賞与年3回 正社員,正社員,
上田鍍金株式会社 | ●創業101年。業界の日本を代表する大手企業●業界売上京都府2位,社内ＳＥ、社内ＰＧ、機械設計、電気電子設計【総合職】 正社員,正社員,
株式会社ヒューマンウェア | ★残業ほぼ無し/完全週休2日(土日祝)/WEB面接可/転勤なし★,事務系総合職（IT事務/経理・財務サポート/営業事務/一般事務） 正社員,正社員,250万円～450万円
日産車体コンピュータサービス株式会社 | 年間休日121日以上 ★長期出張＆転勤なし ★在宅勤務制度導入中,＼日産グループで活躍／【ITエンジニア】★沖縄勤務★残業月15h 正社員,正社員,
学校法人 高宮学園 | 【代々木ゼミナール】★正職員/完全週休2日/20～30代活躍中★,【予備校業務(教材作成/営業/SE/HP管理)】☆総合職採用☆ 正社員,正社員,300万円～400万円
株式会社エフ・エム | #WEB面談#年休125日#リモート案件あり#大阪府緊急雇用対策に賛同,【ITエンジニア(開発/インフラ)】スキルUPが叶う環境 正社員,正社員,350万円～640万円
株式会社マイクロフィッシュ | 完全週休2日制・土日祝休み・年休120日以上・服装髪型自由,未経験歓迎！文書管理のパイオニアで活躍する！【事務スタッフ】 正社員,正社員,250万円～450万円
株式会社ホンダクリオ上尾 | 県内No.1の〈Honda車の正規ディーラー〉　★賞与は年3回！,〈賞与5.2か月〉★無資格OKの【メカニック】※27歳以下の方 正社員,正社員,350万円～600万円
株式会社クロノステクノロジー | ■未来を感じるハイレベルなプロジェクトに携わりませんか？,『 最先端を体現し、新しい未来を創る会社です 』【 SE 】 正社員,正社員,300万円～500万円
株式会社アーカイブ | 高定着率◎創業16年で退職者2名！アルバイトさえ退職しない会社,【SE/PG】社長と冗談を言い合えるーあなたの人生を思いやる会社 正社員,正社員,450万円～650万円
株式会社タイルメント | <建築用の接着剤メーカー>★残業月平均10h★30代を中心に活躍中,＼ 社内のIT化を進め、会社に貢献！／【IT事務】★年間休日125日 正社員,正社員,
