企業名,キャッチコピー,ステータス,初年度年収
株式会社ドリームジャック | 【売上155％増で拡大中】1人ひとりの理想を応援！★副業もOK,なりたい・やりたいを最速で叶える【開発エンジニア(IT・Web)】 正社員,正社員,420万円～600万円
アラクサラネットワークス株式会社,ネットワーク機器等の【営業】※パートナーセールスメイン 正社員,正社員,
株式会社国和システム | 【富士フイルムシステムサービスのパートナー】IT知識をGET！,官公庁向け【テクニカルサポート】未経験OK！年間休日120日★ 正社員,正社員,250万円～290万円
株式会社第一コンピュータリソース | 【設立52年／大手企業とも取引】年間休日126日／完全土日祝休み,【インフラエンジニア】★のびのび働ける＝仕事をもっと好きに！ 正社員,正社員,
株式会社アスタース | 自社内案件100%／UIターン歓迎←遠方の方はWEB面接/会社説明会OK,【ITエンジニア(SE・サーバー)】中途入社の先輩が多く活躍中！ 正社員,正社員,350万円～600万円
ハウステンボス株式会社 | 【テーマパークならではの福利厚生】★WEB面接実施中,花と光の感動リゾート【総合職（パーク部門/ホテル部門 等）】 正社員,正社員,
株式会社日立システムズ | <人とITの力で、驚きと感動のサービスを>,サーバ・ネットワークの設計構築をお任せ【インフラエンジニア】 正社員,正社員,
日産車体コンピュータサービス株式会社 | ◇グループ唯一のIT企業/全国からの応募歓迎！家賃補助制度あり,日産車の生産を現場で支える【社内SE】 ★残業月10h ★福岡勤務 正社員,正社員,350万円～600万円
大友ロジスティクスサービス株式会社 | 大手企業とも多数取引 ★完全週休2日(土日休)★40代活躍中！,働く仲間とお客様の喜びを“やりたい”仕事で実現！【社内SE】 正社員,正社員,400万円～500万円
山本武臣税理士事務所 | 年休120日以上 / 完全週休2日(土日祝) /医療系に特化し業績好調,ドクターと信頼を築き、大きな夢を叶える【税理士アシスタント】 正社員,正社員,
株式会社日立製作所 | ＜東証一部上場企業＞,パブリッククラウドを活用した【ソリューション開発・技術支援】 正社員,正社員,600万円～900万円
株式会社アクレット | 【世界的メーカーと直接取引】「Drupal」に強い希少な会社！,業界未経験スタートOK！【WEBエンジニア】★完全週休2日制 正社員,正社員,300万円～650万円
株式会社日立システムズ | <人とITの力で、驚きと感動のサービスを>,『技術×ロボット×データ利活用』でモノ作りを支える【技術者】 正社員,正社員,
株式会社日立システムズ,損害保険業界向け【ITソリューション営業】 正社員,正社員,
株式会社ベルテック | #年間休日120日以上 #完全週休2日制 #残業月平均10時間以内,急成長中の企業をシステムから支える【社内SE】土日休／未経験OK 正社員,正社員,310万円～325万円
KYODOU株式会社 | 自社クラウド製品に加え新規開発にも挑戦可★フレックスタイム制,自社開発システム【プログラマ】経験者採用／賞与年2回／Web面接 正社員,正社員,400万円～500万円
アルテンジャパン株式会社 | 世界2位のエンジニアリングサービス!【ALTEN GROUP】の日本法人,日本法人立ち上げメンバー募集【ITエンジニア】前職給与保証◎ 正社員,正社員,350万円～700万円
エア・ウォーター・マテリアル株式会社 | 【東証一部上場グループ】◆残業月平均0~10h ◆年休120日以上,新技術の導入にも発想を活かせる！【社内SE】★賞与年4.8カ月 正社員,正社員,450万円～700万円
株式会社日立システムズ,ビジネスパートナー向け【ITソリューション営業】 正社員,正社員,
株式会社REJ | 設立57年／東証一部上場『アイダエンジニアリング』グループ,いろんな経験ができる【社内SE】★完全週休2日&残業月10H以内 正社員,正社員,400万円～600万円
株式会社弘和電材社 | 業界トップクラス！キヤノングループなど、大手企業と取引多数！,IT経験・スキルを活かして安定企業を支えていく！【社内SE】 正社員,正社員,400万円～450万円
アラクサラネットワークス株式会社,WEBで自社製品の魅力を発信する【マーケティングスタッフ】 正社員,正社員,
株式会社日立ソリューションズ | ともにつくる未来を、つよく。,製造業分野のシステムエンジニア（中部地区担当） 正社員,正社員,
株式会社ヤマハコーポレートサービス | 【正社員募集】転勤なし｜年間休日124日｜賞与(計5.3カ月分支給),"＜レア求人＞ ヤマハグループの""社内SE""を募集！【SE】WEB面接OK 正社員",正社員,
アラクサラネットワークス株式会社,◆ネットワーク機器に関する【ハイタッチ営業】 正社員,正社員,
アラクサラネットワークス株式会社,【ネットワークSE】 ◆システムソリューションの提案 正社員,正社員,
日立チャネルソリューションズ株式会社 | インド・中国・ASEAN等への海外展開を加速中！,海外への事業展開をITで支える【社内SE】 ◆英語力を活かせます 正社員,正社員,500万円～800万円
株式会社日立ソリューションズ | 「創業110年の日立グループ」世の中を便利に、楽しくする会社,デジタルマーケティング分野の【システムエンジニア】 正社員,正社員,
